,Nurse,2022-09-01-mañana,2022-09-01-tarde,2022-09-02-mañana,2022-09-02-tarde,2022-09-03-mañana,2022-09-03-tarde,2022-09-04-mañana,2022-09-04-tarde,2022-09-05-mañana,2022-09-05-tarde,2022-09-06-mañana,2022-09-06-tarde,2022-09-07-mañana,2022-09-07-tarde,2022-09-08-mañana,2022-09-08-tarde,2022-09-09-mañana,2022-09-09-tarde,2022-09-10-mañana,2022-09-10-tarde,2022-09-11-mañana,2022-09-11-tarde,2022-09-12-mañana,2022-09-12-tarde,2022-09-13-mañana,2022-09-13-tarde,2022-09-14-mañana,2022-09-14-tarde,2022-09-15-mañana,2022-09-15-tarde,2022-09-16-mañana,2022-09-16-tarde,2022-09-17-mañana,2022-09-17-tarde,2022-09-18-mañana,2022-09-18-tarde,2022-09-19-mañana,2022-09-19-tarde,2022-09-20-mañana,2022-09-20-tarde,2022-09-21-mañana,2022-09-21-tarde,2022-09-22-mañana,2022-09-22-tarde,2022-09-23-mañana,2022-09-23-tarde,2022-09-24-mañana,2022-09-24-tarde,2022-09-25-mañana,2022-09-25-tarde,2022-09-26-mañana,2022-09-26-tarde,2022-09-27-mañana,2022-09-27-tarde,2022-09-28-mañana,2022-09-28-tarde,2022-09-29-mañana,2022-09-29-tarde,2022-09-30-mañana,2022-09-30-tarde,objective_1,objective_2
0,person_5,-,-,-,-,-,-,M,-,-,-,M,-,M,-,M,-,M,-,-,-,DISP,-,M,-,-,-,M,-,M,-,M,-,-,-,-,-,-,-,-,-,M,-,COM,-,-,-,M,-,-,-,M,-,COM,-,COM,-,M,-,COM,-,1.0,11.3125
1,person_7,COM,-,M,-,DISP,-,-,-,-,CHX,-,-,-,T1,-,T1,-,CHX,-,-,-,-,-,-,-,-,-,-,M,-,M,-,-,-,M,-,M,-,COM,-,M,-,M,-,M,-,DISP,-,-,-,-,-,-,-,M,-,M,-,M,-,1.0,11.3125
2,person_2,-,-,M,-,M,-,-,-,M,-,COM,-,-,-,M,-,COM,-,-,-,M,-,M,-,M,-,M,-,-,-,COM,-,DISP,-,-,-,-,T2,-,T1,-,-,-,CHX,-,T2,-,-,-,-,COM,-,M,-,-,-,-,-,-,-,1.0,11.3125
3,person_3,-,-,-,T2,-,-,-,-,-,T1,-,T2,-,-,-,CHX,-,T1,-,T1,-,-,-,CHX,-,T1,-,CHX,-,-,-,T2,-,-,-,T1,-,T1,-,CHX,-,-,-,T2,-,-,-,-,-,T1,-,CHX,-,T1,-,-,-,-,-,T2,1.0,11.3125
4,person_4,-,CHX,-,CHX,-,-,-,-,M,-,-,-,COM,-,COM,-,-,-,DISP,-,-,-,COM,-,COM,-,-,-,COM,-,COM,-,-,-,DISP,-,COM,-,M,-,COM,-,M,-,COM,-,-,-,M,-,-,-,-,-,-,-,-,CHX,-,CHX,1.0,11.3125
5,person_8,M,-,M,-,-,-,-,-,COM,-,-,-,-,-,-,-,M,-,M,-,-,-,-,-,-,-,-,T1,-,T2,-,T2,-,-,-,-,M,-,COM,-,-,-,M,-,M,-,-,-,DISP,-,-,-,-,T2,-,T1,-,CHX,-,-,1.0,11.3125
6,person_6,COM,-,M,-,-,-,DISP,-,-,T2,-,CHX,-,CHX,-,T2,-,T1,-,-,-,-,-,-,M,-,COM,-,COM,-,M,-,M,-,-,-,-,CHX,-,-,-,CHX,-,T1,-,T1,-,-,-,-,-,T1,-,-,-,-,-,T2,-,T1,1.0,11.3125
7,person_9,M,-,COM,-,-,-,-,-,-,-,-,T1,-,T2,-,-,-,T2,-,-,-,T1,-,T1,-,-,-,T2,-,T1,-,T1,-,T1,-,-,-,-,M,-,-,-,-,-,M,-,-,-,-,-,-,-,-,-,-,T2,-,T1,-,-,1.0,11.3125
8,person_1,-,T1,-,T1,-,-,-,T1,-,-,-,-,-,-,-,T1,-,CHX,-,-,-,T1,-,-,-,T2,-,-,-,T2,-,-,-,-,-,-,-,-,-,-,-,T2,-,CHX,-,CHX,-,T1,-,-,-,T2,-,CHX,-,CHX,-,-,-,T1,1.0,11.3125
9,person_10,-,T2,-,-,-,T1,-,-,COM,-,M,-,M,-,M,-,-,-,-,-,-,-,-,T2,-,CHX,-,T1,-,CHX,-,CHX,-,T1,-,-,-,T2,-,T2,-,T1,-,T1,-,-,-,T1,-,-,M,-,M,-,M,-,COM,-,M,-,1.0,11.3125
10,person_5,-,T2,-,CHX,-,-,-,-,-,-,M,-,M,-,M,-,M,-,-,-,DISP,-,M,-,-,-,M,-,M,-,M,-,M,-,-,-,-,-,-,-,M,-,M,-,M,-,M,-,-,-,M,-,COM,-,M,-,COM,-,-,-,3.0,10.25
11,person_7,M,-,M,-,DISP,-,-,-,M,-,-,-,COM,-,COM,-,M,-,-,-,M,-,-,-,-,T1,-,CHX,-,CHX,-,T1,-,-,-,-,COM,-,COM,-,M,-,M,-,M,-,-,-,DISP,-,-,-,-,-,-,T2,-,T1,-,T1,3.0,10.25
12,person_2,-,-,-,T1,-,-,-,-,COM,-,M,-,-,-,M,-,COM,-,DISP,-,-,-,-,T1,-,T2,-,CHX,-,-,-,CHX,-,-,-,-,M,-,M,-,-,-,COM,-,M,-,DISP,-,-,-,COM,-,M,-,-,-,-,-,M,-,3.0,10.25
13,person_3,-,-,-,CHX,-,T1,-,-,-,T1,-,T1,-,-,-,CHX,-,T1,-,T1,-,-,COM,-,M,-,M,-,-,-,COM,-,-,-,-,-,-,T2,-,T1,-,-,-,T2,-,T1,-,T1,-,-,M,-,M,-,-,-,-,-,M,-,3.0,10.25
14,person_4,COM,-,COM,-,-,-,M,-,-,CHX,-,-,-,CHX,-,T1,-,T1,-,-,-,-,M,-,M,-,COM,-,M,-,M,-,DISP,-,-,-,M,-,M,-,COM,-,COM,-,COM,-,-,-,M,-,-,-,-,-,COM,-,M,-,COM,-,3.0,10.25
15,person_8,M,-,M,-,-,-,DISP,-,-,T1,-,-,-,T1,-,T2,-,-,-,-,-,-,-,-,-,-,COM,-,COM,-,M,-,-,-,DISP,-,-,CHX,-,T1,-,T1,-,T1,-,CHX,-,-,-,-,-,-,-,T2,-,T1,-,CHX,-,CHX,3.0,10.25
16,person_6,M,-,COM,-,M,-,-,-,M,-,COM,-,M,-,COM,-,M,-,M,-,-,-,-,-,COM,-,M,-,COM,-,M,-,-,-,M,-,-,T2,-,-,-,T2,-,CHX,-,CHX,-,-,-,-,-,T1,-,-,-,CHX,-,CHX,-,-,3.0,10.25
17,person_9,-,CHX,-,T2,-,-,-,T1,-,-,-,T2,-,T1,-,T1,-,CHX,-,-,-,-,-,T2,-,-,-,T1,-,T1,-,T2,-,-,-,-,-,-,-,T2,-,T1,-,T1,-,T2,-,T1,-,-,-,-,-,-,M,-,M,-,M,-,3.0,10.25
18,person_1,-,-,-,T2,-,T1,-,-,-,T2,-,-,-,T2,-,CHX,-,T2,-,-,-,-,-,-,-,CHX,-,T2,-,T2,-,-,-,T1,-,-,-,-,-,-,-,-,-,T2,-,-,-,-,-,T1,-,CHX,-,T1,-,-,-,T2,-,T2,3.0,10.25
19,person_10,-,T1,-,T2,-,T1,-,-,-,CHX,-,CHX,-,CHX,-,CHX,-,CHX,-,-,-,T1,-,CHX,-,CHX,-,CHX,-,T1,-,T1,-,-,-,T1,-,T1,-,CHX,-,CHX,-,CHX,-,-,-,-,-,-,-,T2,-,CHX,-,CHX,-,T1,-,CHX,3.0,10.25
20,person_5,-,CHX,-,-,-,-,-,-,-,-,M,-,COM,-,M,-,M,-,M,-,-,-,COM,-,-,-,M,-,M,-,-,-,-,-,DISP,-,-,-,-,-,M,-,M,-,M,-,DISP,-,-,-,-,CHX,-,T2,-,T1,-,T2,-,T2,4.0,9.3125
21,person_7,COM,-,M,-,M,-,-,-,M,-,-,-,M,-,COM,-,M,-,-,-,M,-,-,-,COM,-,COM,-,M,-,COM,-,M,-,-,-,-,T2,-,T1,-,T1,-,T1,-,T2,-,-,-,-,-,-,-,-,-,T2,-,T1,-,T1,4.0,9.3125
22,person_2,-,-,COM,-,-,-,M,-,COM,-,M,-,-,-,-,-,COM,-,-,-,-,-,M,-,M,-,COM,-,-,-,M,-,-,-,M,-,M,-,M,-,-,-,COM,-,COM,-,-,-,DISP,-,-,T2,-,CHX,-,-,-,-,-,CHX,4.0,9.3125
23,person_3,-,-,-,T1,-,T1,-,-,-,CHX,-,T2,-,T1,-,T1,-,T2,-,-,-,-,-,T2,-,CHX,-,T1,-,-,-,T1,-,-,-,T1,-,CHX,-,CHX,-,-,-,CHX,-,T2,-,T1,-,-,M,-,M,-,-,-,-,-,M,-,4.0,9.3125
24,person_4,-,T1,-,T1,-,-,-,-,M,-,-,-,M,-,COM,-,M,-,-,-,DISP,-,M,-,M,-,M,-,COM,-,M,-,DISP,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,-,-,M,-,M,-,COM,-,4.0,9.3125
25,person_8,M,-,COM,-,-,-,DISP,-,M,-,-,-,COM,-,M,-,M,-,-,-,M,-,-,-,-,-,-,T2,-,-,-,T1,-,-,-,-,-,T1,-,T1,-,T2,-,T2,-,T1,-,-,-,-,-,-,-,T1,-,CHX,-,-,-,T2,4.0,9.3125
26,person_6,M,-,M,-,DISP,-,-,-,COM,-,COM,-,COM,-,-,-,M,-,DISP,-,-,-,-,-,-,CHX,-,CHX,-,CHX,-,CHX,-,-,-,-,COM,-,-,-,COM,-,COM,-,COM,-,-,-,M,-,-,T1,-,-,-,CHX,-,T1,-,T2,4.0,9.3125
