,Nurse,2022-06-01-mañana,2022-06-01-tarde,2022-06-02-mañana,2022-06-02-tarde,2022-06-03-mañana,2022-06-03-tarde,2022-06-04-mañana,2022-06-04-tarde,2022-06-05-mañana,2022-06-05-tarde,2022-06-06-mañana,2022-06-06-tarde,2022-06-07-mañana,2022-06-07-tarde,2022-06-08-mañana,2022-06-08-tarde,2022-06-09-mañana,2022-06-09-tarde,2022-06-10-mañana,2022-06-10-tarde,2022-06-11-mañana,2022-06-11-tarde,2022-06-12-mañana,2022-06-12-tarde,2022-06-13-mañana,2022-06-13-tarde,2022-06-14-mañana,2022-06-14-tarde,2022-06-15-mañana,2022-06-15-tarde,2022-06-16-mañana,2022-06-16-tarde,2022-06-17-mañana,2022-06-17-tarde,2022-06-18-mañana,2022-06-18-tarde,2022-06-19-mañana,2022-06-19-tarde,2022-06-20-mañana,2022-06-20-tarde,2022-06-21-mañana,2022-06-21-tarde,2022-06-22-mañana,2022-06-22-tarde,2022-06-23-mañana,2022-06-23-tarde,2022-06-24-mañana,2022-06-24-tarde,2022-06-25-mañana,2022-06-25-tarde,2022-06-26-mañana,2022-06-26-tarde,2022-06-27-mañana,2022-06-27-tarde,2022-06-28-mañana,2022-06-28-tarde,2022-06-29-mañana,2022-06-29-tarde,2022-06-30-mañana,2022-06-30-tarde,objective_1,objective_2
0,person_11,COM,-,M,-,M,-,DISP,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,-,T2,-,T1,-,T1,-,T1,-,-,-,-,M,-,M,-,M,-,M,-,2.0,23.4375
1,person_5,M,-,COM,-,-,-,-,-,DISP,-,-,-,M,-,-,-,COM,-,-,-,-,-,M,-,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,-,T2,-,CHX,-,T1,2.0,23.4375
2,person_1,-,CHX,-,-,-,CHX,-,-,-,T1,-,T2,-,T2,-,-,-,-,-,CHX,-,T1,-,-,M,-,-,-,M,-,-,-,-,-,-,-,-,-,-,-,M,-,-,-,COM,-,-,-,-,-,-,-,-,-,-,T1,-,T2,-,CHX,2.0,23.4375
3,person_8,M,-,-,-,COM,-,-,-,M,-,-,-,COM,-,M,-,M,-,COM,-,DISP,-,-,-,-,-,-,-,-,T1,-,T2,-,CHX,-,-,-,-,-,T1,-,T1,-,-,-,T2,-,CHX,-,-,-,-,DISP,-,M,-,M,-,M,-,2.0,23.4375
4,person_2,-,-,-,T2,-,T1,-,-,-,-,-,-,-,-,-,CHX,-,T1,-,T2,-,-,-,T1,-,T1,-,CHX,-,-,-,CHX,-,T2,-,-,-,T1,-,-,-,-,-,CHX,-,T1,-,-,-,T1,-,-,-,-,-,-,-,-,-,-,2.0,23.4375
5,person_9,-,-,COM,-,M,-,M,-,-,-,-,T1,-,-,-,T2,-,CHX,-,-,-,-,-,-,M,-,M,-,-,-,-,-,M,-,DISP,-,-,-,DISP,-,-,-,M,-,M,-,COM,-,-,-,M,-,-,T1,-,-,-,-,-,-,2.0,23.4375
6,person_7,-,-,-,-,-,T2,-,T1,-,-,-,CHX,-,-,-,-,-,T2,-,T1,-,T1,-,-,-,T2,-,T2,-,T2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M,-,-,-,-,-,-,-,2.0,23.4375
7,person_10,-,-,M,-,COM,-,-,-,-,-,M,-,-,-,COM,-,COM,-,-,-,-,-,DISP,-,-,-,COM,-,-,-,COM,-,COM,-,-,-,M,-,-,-,-,-,COM,-,COM,-,M,-,-,-,DISP,-,M,-,-,-,-,-,-,-,2.0,23.4375
8,person_6,-,-,-,T1,-,T2,-,-,-,-,COM,-,-,-,-,-,-,-,M,-,-,-,-,-,-,-,-,-,-,-,-,T1,-,-,-,-,-,T1,-,-,-,-,-,T2,-,-,-,T2,-,-,-,T1,-,T1,-,-,-,-,-,T1,2.0,23.4375
9,person_3,-,T1,-,CHX,-,-,-,-,-,-,-,-,-,CHX,-,T1,-,CHX,-,T2,-,-,-,-,-,CHX,-,T1,-,CHX,-,-,-,T1,-,T1,-,-,-,-,-,CHX,-,-,-,CHX,-,-,-,-,-,T1,-,-,COM,-,COM,-,COM,-,2.0,23.4375
