,Nurse,2023-06-01-mañana,2023-06-01-tarde,2023-06-02-mañana,2023-06-02-tarde,2023-06-03-mañana,2023-06-03-tarde,2023-06-04-mañana,2023-06-04-tarde,2023-06-05-mañana,2023-06-05-tarde,2023-06-06-mañana,2023-06-06-tarde,2023-06-07-mañana,2023-06-07-tarde,2023-06-08-mañana,2023-06-08-tarde,2023-06-09-mañana,2023-06-09-tarde,2023-06-10-mañana,2023-06-10-tarde,2023-06-11-mañana,2023-06-11-tarde,2023-06-12-mañana,2023-06-12-tarde,2023-06-13-mañana,2023-06-13-tarde,2023-06-14-mañana,2023-06-14-tarde,2023-06-15-mañana,2023-06-15-tarde,2023-06-16-mañana,2023-06-16-tarde,2023-06-17-mañana,2023-06-17-tarde,2023-06-18-mañana,2023-06-18-tarde,2023-06-19-mañana,2023-06-19-tarde,2023-06-20-mañana,2023-06-20-tarde,2023-06-21-mañana,2023-06-21-tarde,2023-06-22-mañana,2023-06-22-tarde,2023-06-23-mañana,2023-06-23-tarde,2023-06-24-mañana,2023-06-24-tarde,2023-06-25-mañana,2023-06-25-tarde,2023-06-26-mañana,2023-06-26-tarde,2023-06-27-mañana,2023-06-27-tarde,2023-06-28-mañana,2023-06-28-tarde,2023-06-29-mañana,2023-06-29-tarde,2023-06-30-mañana,2023-06-30-tarde,objective_1,objective_2
0,person_5,-,T1,-,CHX,-,-,-,-,-,T1,-,-,-,T1,-,T2,-,T1,-,-,-,-,-,-,-,T2,-,CHX,-,T1,-,T1,-,-,-,-,-,-,-,-,COM,-,COM,-,COM,-,M,-,-,-,-,-,-,-,-,T2,-,CHX,-,T1,0.0,13.625
1,person_9,-,CHX,-,T1,-,-,-,T1,-,T1,-,CHX,-,T2,-,-,-,T2,-,-,-,T2,-,T1,-,CHX,-,-,-,T2,-,-,-,-,-,T1,-,-,M,-,-,-,-,-,M,-,-,-,-,-,-,T1,-,CHX,-,-,-,T1,-,CHX,0.0,13.625
2,person_3,-,T2,-,T2,-,-,-,-,M,-,-,-,M,-,M,-,-,-,DISP,-,-,-,-,-,-,-,-,-,M,-,-,-,-,-,DISP,-,M,-,M,-,-,-,-,-,-,-,-,-,DISP,-,-,-,-,T2,-,T1,-,T1,-,T2,0.0,13.625
3,person_11,COM,-,COM,-,-,-,DISP,-,COM,-,M,-,M,-,-,-,COM,-,-,-,-,-,DISP,-,COM,-,-,-,COM,-,COM,-,-,-,M,-,DISP,-,M,-,-,-,-,-,COM,-,-,-,M,-,-,CHX,-,T1,-,-,-,T2,-,T1,0.0,13.625
4,person_7,M,-,M,-,DISP,-,-,-,M,-,-,-,M,-,COM,-,M,-,-,-,M,-,-,-,M,-,M,-,-,-,-,-,DISP,-,-,-,-,-,-,T2,-,T1,-,CHX,-,T1,-,-,-,-,-,-,-,-,-,CHX,-,-,-,T1,0.0,13.625
5,person_2,COM,-,-,-,M,-,-,-,COM,-,-,-,-,-,M,-,COM,-,M,-,-,-,-,-,-,-,-,T2,-,-,-,T2,-,-,-,-,-,-,-,-,M,-,M,-,-,-,DISP,-,-,-,-,-,M,-,COM,-,-,-,M,-,0.0,13.625
6,person_8,-,-,M,-,-,-,-,-,-,T2,-,T1,-,-,-,T1,-,CHX,-,T1,-,-,DISP,-,COM,-,COM,-,-,-,M,-,-,-,-,-,-,-,COM,-,-,-,M,-,COM,-,-,-,-,-,M,-,COM,-,-,-,-,-,M,-,0.0,13.625
7,person_4,-,-,-,-,-,-,M,-,M,-,M,-,-,-,-,-,-,-,-,-,DISP,-,DISP,-,-,-,M,-,-,-,M,-,M,-,-,-,-,T1,-,T1,-,T2,-,T1,-,T2,-,-,-,-,M,-,-,-,M,-,COM,-,-,-,0.0,13.625
8,person_6,-,CHX,-,T1,-,-,-,T2,-,-,COM,-,COM,-,M,-,M,-,-,-,-,-,M,-,M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CHX,-,CHX,-,CHX,-,-,-,T1,-,-,-,-,-,-,-,-,M,-,COM,-,0.0,13.625
9,person_10,M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T1,-,T1,-,CHX,-,CHX,-,T1,-,-,-,-,-,-,-,T1,-,T2,-,CHX,-,-,-,T1,-,T2,-,-,-,-,-,-,-,-,0.0,13.625
10,person_1,-,T1,-,-,-,T1,-,-,-,CHX,-,T2,-,CHX,-,CHX,-,-,-,-,-,T1,-,-,-,-,-,-,M,-,-,-,-,-,-,-,DISP,-,-,-,M,-,M,-,M,-,-,-,-,-,COM,-,M,-,M,-,M,-,-,-,0.0,13.625
11,person_5,-,T1,-,T2,-,-,-,-,-,T2,-,-,-,T2,-,T1,-,CHX,-,-,-,-,-,-,M,-,COM,-,COM,-,COM,-,-,-,M,-,DISP,-,M,-,COM,-,M,-,-,-,-,-,M,-,-,-,-,-,-,CHX,-,CHX,-,T2,2.0,11.625
12,person_9,-,T1,-,T1,-,-,-,T1,-,CHX,-,CHX,-,CHX,-,-,-,T2,-,T1,-,-,DISP,-,COM,-,-,-,COM,-,COM,-,-,-,-,-,-,T1,-,CHX,-,-,-,-,-,T2,-,-,-,T1,-,T1,-,CHX,-,-,-,T2,-,T1,2.0,11.625
13,person_3,-,CHX,-,T2,-,-,-,-,COM,-,-,-,M,-,COM,-,COM,-,-,-,DISP,-,-,-,-,-,-,-,-,-,-,T2,-,-,-,-,-,-,-,-,M,-,M,-,M,-,DISP,-,-,-,-,-,-,T1,-,T1,-,T1,-,CHX,2.0,11.625
