,Nurse,2023-09-01-mañana,2023-09-01-tarde,2023-09-02-mañana,2023-09-02-tarde,2023-09-03-mañana,2023-09-03-tarde,2023-09-04-mañana,2023-09-04-tarde,2023-09-05-mañana,2023-09-05-tarde,2023-09-06-mañana,2023-09-06-tarde,2023-09-07-mañana,2023-09-07-tarde,2023-09-08-mañana,2023-09-08-tarde,2023-09-09-mañana,2023-09-09-tarde,2023-09-10-mañana,2023-09-10-tarde,2023-09-11-mañana,2023-09-11-tarde,2023-09-12-mañana,2023-09-12-tarde,2023-09-13-mañana,2023-09-13-tarde,2023-09-14-mañana,2023-09-14-tarde,2023-09-15-mañana,2023-09-15-tarde,2023-09-16-mañana,2023-09-16-tarde,2023-09-17-mañana,2023-09-17-tarde,2023-09-18-mañana,2023-09-18-tarde,2023-09-19-mañana,2023-09-19-tarde,2023-09-20-mañana,2023-09-20-tarde,2023-09-21-mañana,2023-09-21-tarde,2023-09-22-mañana,2023-09-22-tarde,2023-09-23-mañana,2023-09-23-tarde,2023-09-24-mañana,2023-09-24-tarde,2023-09-25-mañana,2023-09-25-tarde,2023-09-26-mañana,2023-09-26-tarde,2023-09-27-mañana,2023-09-27-tarde,2023-09-28-mañana,2023-09-28-tarde,2023-09-29-mañana,2023-09-29-tarde,2023-09-30-mañana,2023-09-30-tarde,objective_1,objective_2
0,person_7,COM,-,-,-,DISP,-,COM,-,M,-,-,-,M,-,M,-,-,-,DISP,-,COM,-,-,-,COM,-,M,-,M,-,DISP,-,-,-,M,-,COM,-,M,-,COM,-,M,-,DISP,-,-,-,-,T1,-,-,-,-,-,CHX,-,T2,-,-,2.0,24.375
1,person_4,-,-,-,T1,-,-,-,T2,-,CHX,-,T1,-,-,-,-,-,T1,-,-,-,T2,-,T2,-,T2,-,T2,-,T1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,24.375
2,person_10,M,-,-,-,-,-,-,CHX,-,T2,-,-,-,CHX,-,T1,-,-,-,T1,-,CHX,-,-,-,CHX,-,CHX,-,T2,-,-,-,T1,-,T1,-,-,-,T1,-,T1,-,T2,-,-,-,-,-,CHX,-,T2,-,T1,-,T2,-,T1,-,T1,2.0,24.375
3,person_5,-,T2,-,-,-,-,M,-,COM,-,COM,-,COM,-,-,-,-,-,M,-,-,T1,-,T1,-,T1,-,-,-,CHX,-,-,-,-,-,-,M,-,COM,-,-,-,-,-,-,-,DISP,-,-,-,-,CHX,-,T2,-,-,-,CHX,-,-,2.0,24.375
4,person_6,-,-,-,-,-,-,-,-,-,T1,-,T2,-,-,-,-,-,T1,-,-,COM,-,M,-,COM,-,-,-,-,-,-,-,-,-,-,T1,-,T2,-,CHX,-,CHX,-,T1,-,T1,-,-,-,T2,-,T1,-,CHX,-,T1,-,-,-,CHX,2.0,24.375
5,person_8,-,-,M,-,-,-,M,-,-,-,M,-,M,-,M,-,M,-,-,-,-,-,COM,-,-,-,M,-,COM,-,-,-,DISP,-,M,-,-,-,-,-,M,-,COM,-,-,-,M,-,M,-,M,-,-,-,M,-,M,-,-,-,2.0,24.375
6,person_9,-,-,DISP,-,-,-,-,T1,-,T2,-,CHX,-,-,-,T2,-,-,-,-,M,-,-,-,M,-,COM,-,-,-,-,-,M,-,COM,-,M,-,M,-,M,-,M,-,M,-,-,-,M,-,COM,-,M,-,-,-,-,-,DISP,-,2.0,24.375
7,person_3,-,CHX,-,-,-,T1,-,-,-,-,-,-,-,T2,-,CHX,-,-,-,-,-,-,-,CHX,-,-,-,T1,-,T2,-,T1,-,-,-,T2,-,CHX,-,-,-,-,-,-,-,-,-,T1,-,-,COM,-,M,-,COM,-,COM,-,-,-,2.0,24.375
8,person_1,-,T1,-,-,-,-,-,T1,-,T2,-,T2,-,T1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,24.375
9,person_2,M,-,-,-,M,-,-,-,M,-,M,-,-,-,COM,-,DISP,-,-,-,M,-,M,-,M,-,COM,-,M,-,M,-,-,-,-,CHX,-,T1,-,T2,-,T2,-,CHX,-,-,-,-,COM,-,M,-,COM,-,M,-,M,-,M,-,2.0,24.375
