,Nurse,2022-04-01-mañana,2022-04-01-tarde,2022-04-02-mañana,2022-04-02-tarde,2022-04-03-mañana,2022-04-03-tarde,2022-04-04-mañana,2022-04-04-tarde,2022-04-05-mañana,2022-04-05-tarde,2022-04-06-mañana,2022-04-06-tarde,2022-04-07-mañana,2022-04-07-tarde,2022-04-08-mañana,2022-04-08-tarde,2022-04-09-mañana,2022-04-09-tarde,2022-04-10-mañana,2022-04-10-tarde,2022-04-11-mañana,2022-04-11-tarde,2022-04-12-mañana,2022-04-12-tarde,2022-04-13-mañana,2022-04-13-tarde,2022-04-14-mañana,2022-04-14-tarde,2022-04-15-mañana,2022-04-15-tarde,2022-04-16-mañana,2022-04-16-tarde,2022-04-17-mañana,2022-04-17-tarde,2022-04-18-mañana,2022-04-18-tarde,2022-04-19-mañana,2022-04-19-tarde,2022-04-20-mañana,2022-04-20-tarde,2022-04-21-mañana,2022-04-21-tarde,2022-04-22-mañana,2022-04-22-tarde,2022-04-23-mañana,2022-04-23-tarde,2022-04-24-mañana,2022-04-24-tarde,2022-04-25-mañana,2022-04-25-tarde,2022-04-26-mañana,2022-04-26-tarde,2022-04-27-mañana,2022-04-27-tarde,2022-04-28-mañana,2022-04-28-tarde,2022-04-29-mañana,2022-04-29-tarde,2022-04-30-mañana,2022-04-30-tarde,objective_1,objective_2
0,person_5,-,T2,-,T1,-,-,-,T2,-,T1,-,T2,-,T2,-,-,-,-,-,-,-,T1,-,T1,-,CHX,-,-,-,-,-,T1,-,-,-,CHX,-,CHX,-,CHX,-,CHX,-,CHX,-,-,-,-,-,T2,-,T1,-,CHX,-,CHX,-,CHX,-,-,10.0,10.25
1,person_7,M,-,M,-,-,-,COM,-,M,-,-,-,COM,-,M,-,-,-,M,-,-,T2,-,CHX,-,T1,-,T1,-,T1,-,-,-,-,M,-,M,-,M,-,COM,-,M,-,M,-,-,-,COM,-,COM,-,-,-,COM,-,M,-,DISP,-,10.0,10.25
2,person_6,COM,-,-,-,-,-,M,-,-,-,M,-,COM,-,COM,-,-,-,DISP,-,M,-,M,-,-,-,M,-,-,-,M,-,-,-,-,T2,-,-,-,-,-,T2,-,T2,-,-,-,T1,-,-,-,T2,-,-,-,T1,-,T2,-,T1,10.0,10.25
3,person_1,-,-,-,-,DISP,-,-,CHX,-,CHX,-,T1,-,-,-,T1,-,-,-,T1,-,T2,-,T2,-,T2,-,T1,-,-,-,T1,-,-,-,T1,-,T1,-,T1,-,-,-,T1,-,T1,-,-,M,-,M,-,M,-,-,-,-,-,-,-,10.0,10.25
4,person_8,-,T1,-,T1,-,-,-,T1,-,T2,-,CHX,-,T1,-,T2,-,-,-,-,M,-,M,-,M,-,DISP,-,M,-,DISP,-,-,-,M,-,-,-,-,-,M,-,M,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,10.0,10.25
5,person_3,-,CHX,-,-,-,T1,-,T1,-,T2,-,-,-,CHX,-,CHX,-,T1,-,-,-,CHX,-,-,-,-,-,T1,-,T1,-,-,-,T1,-,-,M,-,M,-,M,-,M,-,DISP,-,-,-,-,CHX,-,-,-,T2,-,-,-,T1,-,-,10.0,10.25
6,person_2,M,-,DISP,-,-,-,COM,-,M,-,COM,-,M,-,M,-,M,-,-,-,COM,-,-,-,COM,-,M,-,DISP,-,-,-,DISP,-,-,-,-,T2,-,T2,-,T1,-,T1,-,-,-,-,M,-,-,-,COM,-,M,-,COM,-,M,-,10.0,10.25
7,person_4,M,-,-,-,M,-,M,-,COM,-,M,-,M,-,-,-,DISP,-,-,-,COM,-,COM,-,M,-,DISP,-,-,-,-,-,M,-,COM,-,COM,-,COM,-,COM,-,COM,-,-,-,DISP,-,-,T1,-,CHX,-,T1,-,T2,-,-,-,-,10.0,10.25
8,person_5,-,T2,-,T1,-,-,-,T2,-,T1,-,T1,-,CHX,-,T2,-,-,-,T1,-,T1,-,CHX,-,T1,-,-,-,T1,-,-,-,-,-,CHX,-,CHX,-,T2,-,CHX,-,T1,-,-,-,-,-,-,-,CHX,-,CHX,-,T2,-,T2,-,-,12.0,9.25
9,person_7,M,-,-,-,M,-,COM,-,COM,-,M,-,M,-,COM,-,M,-,-,-,-,T2,-,-,-,CHX,-,T1,-,T1,-,-,-,-,COM,-,COM,-,COM,-,COM,-,M,-,M,-,-,-,M,-,-,-,-,-,M,-,COM,-,DISP,-,12.0,9.25
10,person_6,COM,-,DISP,-,-,-,-,T1,-,-,-,T2,-,-,-,CHX,-,-,-,-,M,-,M,-,-,-,M,-,DISP,-,-,-,M,-,-,T1,-,-,-,-,-,T1,-,T2,-,-,-,T1,-,T1,-,T1,-,-,-,CHX,-,T1,-,T2,12.0,9.25
11,person_1,-,-,-,-,-,T1,-,CHX,-,CHX,-,CHX,-,T1,-,T1,-,-,-,T1,-,T2,-,T2,-,T2,-,T1,-,-,-,-,-,T1,-,T2,-,T1,-,T1,-,-,-,T1,-,T1,-,-,M,-,M,-,M,-,-,-,-,-,-,-,12.0,9.25
12,person_8,-,CHX,-,T1,-,-,M,-,M,-,-,-,M,-,M,-,-,-,M,-,M,-,-,-,COM,-,DISP,-,M,-,M,-,-,-,M,-,-,-,-,-,M,-,M,-,-,-,M,-,COM,-,M,-,COM,-,COM,-,M,-,-,-,12.0,9.25
13,person_3,-,T1,-,-,-,-,-,T1,-,T2,-,-,-,T2,-,CHX,-,T1,-,-,-,CHX,-,T1,-,-,-,-,-,T1,-,T1,-,-,COM,-,M,-,M,-,M,-,-,-,-,-,DISP,-,-,T2,-,-,-,T2,-,-,-,CHX,-,T1,12.0,9.25
14,person_2,-,-,M,-,-,-,COM,-,M,-,COM,-,M,-,M,-,DISP,-,-,-,M,-,COM,-,M,-,M,-,-,-,DISP,-,-,-,-,-,-,T2,-,CHX,-,T2,-,CHX,-,-,-,-,M,-,COM,-,M,-,M,-,M,-,M,-,12.0,9.25
15,person_4,M,-,-,-,DISP,-,M,-,COM,-,M,-,COM,-,-,-,-,-,DISP,-,COM,-,M,-,M,-,DISP,-,-,-,-,-,DISP,-,M,-,M,-,M,-,COM,-,COM,-,DISP,-,-,-,-,CHX,-,T2,-,T1,-,T1,-,T2,-,-,12.0,9.25
16,person_5,COM,-,DISP,-,-,-,-,T2,-,T1,-,CHX,-,T2,-,T2,-,-,-,T1,-,T1,-,CHX,-,T2,-,T1,-,-,-,-,-,-,-,T2,-,T1,-,CHX,-,CHX,-,T1,-,-,-,-,COM,-,M,-,COM,-,COM,-,COM,-,-,-,13.0,8.5
17,person_7,M,-,-,-,M,-,COM,-,COM,-,-,-,M,-,COM,-,-,-,M,-,COM,-,M,-,COM,-,DISP,-,M,-,DISP,-,-,-,COM,-,COM,-,COM,-,COM,-,M,-,M,-,-,-,-,T1,-,-,-,-,-,T2,-,T1,-,-,13.0,8.5
18,person_6,-,T2,-,T1,-,-,M,-,-,-,M,-,M,-,COM,-,-,-,-,-,M,-,M,-,-,-,M,-,DISP,-,M,-,-,-,-,T1,-,-,-,-,-,T1,-,T2,-,-,-,T1,-,T1,-,CHX,-,-,-,CHX,-,CHX,-,T1,13.0,8.5
19,person_1,-,-,-,-,-,T1,-,CHX,-,CHX,-,T2,-,T1,-,T1,-,-,-,-,-,T2,-,T2,-,CHX,-,T1,-,-,-,-,-,T1,-,CHX,-,T2,-,T1,-,T2,-,T2,-,T1,-,-,-,T2,-,T2,-,T2,-,-,-,-,-,T2,13.0,8.5
20,person_8,-,T1,-,T1,-,-,COM,-,M,-,-,-,COM,-,M,-,-,-,DISP,-,-,T1,-,T1,-,T1,-,T1,-,T1,-,-,-,-,M,-,-,-,-,-,M,-,M,-,-,-,DISP,-,M,-,COM,-,M,-,M,-,M,-,DISP,-,13.0,8.5
21,person_3,-,CHX,-,-,-,-,-,T1,-,T2,-,T1,-,CHX,-,CHX,-,T1,-,-,-,CHX,-,-,-,-,-,-,-,-,-,T1,-,-,-,-,M,-,M,-,M,-,COM,-,-,-,M,-,-,CHX,-,-,-,CHX,-,-,-,T2,-,T1,13.0,8.5
22,person_2,M,-,M,-,-,-,COM,-,M,-,COM,-,M,-,M,-,M,-,-,-,M,-,-,-,M,-,DISP,-,DISP,-,-,-,DISP,-,-,-,-,CHX,-,T2,-,T1,-,CHX,-,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,13.0,8.5
23,person_4,M,-,-,-,DISP,-,M,-,COM,-,M,-,COM,-,-,-,DISP,-,-,-,COM,-,COM,-,M,-,DISP,-,DISP,-,-,-,M,-,M,-,M,-,M,-,COM,-,COM,-,DISP,-,-,-,-,T1,-,T1,-,T1,-,T1,-,-,-,-,13.0,8.5
24,person_5,-,T2,-,T1,-,-,COM,-,COM,-,M,-,COM,-,COM,-,-,-,DISP,-,-,T2,-,CHX,-,T1,-,-,-,-,-,T1,-,-,-,-,-,T2,-,T2,-,CHX,-,CHX,-,-,-,-,-,CHX,-,T2,-,T1,-,T1,-,T2,-,-,14.0,8.25
25,person_7,M,-,DISP,-,-,-,M,-,M,-,-,-,COM,-,M,-,-,-,M,-,COM,-,COM,-,M,-,M,-,M,-,DISP,-,-,-,-,CHX,-,CHX,-,CHX,-,T1,-,T1,-,-,-,-,M,-,M,-,-,-,COM,-,COM,-,M,-,14.0,8.25
26,person_6,-,T2,-,T1,-,-,-,T1,-,-,-,CHX,-,T2,-,T2,-,-,-,-,M,-,M,-,-,-,M,-,M,-,-,-,M,-,M,-,-,-,-,-,M,-,M,-,-,-,M,-,-,T2,-,CHX,-,-,-,T2,-,CHX,-,T2,14.0,8.25
27,person_1,-,CHX,-,-,-,T1,-,CHX,-,T2,-,T1,-,-,-,T1,-,-,-,T1,-,T1,-,T2,-,T2,-,T1,-,-,-,-,-,-,-,T2,-,T1,-,T1,-,-,-,T2,-,-,-,T1,-,T1,-,T1,-,T2,-,CHX,-,-,-,CHX,14.0,8.25
28,person_8,-,T1,-,-,-,-,-,T1,-,T1,-,-,-,CHX,-,CHX,-,T1,-,-,-,CHX,-,T1,-,CHX,-,T1,-,T1,-,-,-,T1,-,T1,-,-,-,-,-,T2,-,CHX,-,T1,-,-,M,-,COM,-,M,-,M,-,M,-,DISP,-,14.0,8.25
29,person_3,COM,-,-,-,M,-,-,T2,-,CHX,-,T2,-,T1,-,CHX,-,-,-,-,M,-,-,-,-,-,-,-,DISP,-,-,-,-,-,COM,-,M,-,M,-,M,-,M,-,DISP,-,-,-,-,T2,-,-,-,CHX,-,-,-,T1,-,T1,14.0,8.25
30,person_2,M,-,M,-,-,-,M,-,M,-,COM,-,M,-,M,-,M,-,-,-,M,-,-,-,M,-,DISP,-,DISP,-,M,-,-,-,-,-,COM,-,M,-,M,-,COM,-,M,-,-,-,M,-,-,-,M,-,M,-,M,-,-,-,14.0,8.25
31,person_4,M,-,-,-,DISP,-,M,-,M,-,M,-,M,-,M,-,DISP,-,-,-,COM,-,M,-,COM,-,DISP,-,-,-,-,-,DISP,-,M,-,M,-,COM,-,COM,-,M,-,-,-,DISP,-,COM,-,M,-,COM,-,COM,-,COM,-,-,-,14.0,8.25
