,Nurse,2023-09-01-mañana,2023-09-01-tarde,2023-09-02-mañana,2023-09-02-tarde,2023-09-03-mañana,2023-09-03-tarde,2023-09-04-mañana,2023-09-04-tarde,2023-09-05-mañana,2023-09-05-tarde,2023-09-06-mañana,2023-09-06-tarde,2023-09-07-mañana,2023-09-07-tarde,2023-09-08-mañana,2023-09-08-tarde,2023-09-09-mañana,2023-09-09-tarde,2023-09-10-mañana,2023-09-10-tarde,2023-09-11-mañana,2023-09-11-tarde,2023-09-12-mañana,2023-09-12-tarde,2023-09-13-mañana,2023-09-13-tarde,2023-09-14-mañana,2023-09-14-tarde,2023-09-15-mañana,2023-09-15-tarde,2023-09-16-mañana,2023-09-16-tarde,2023-09-17-mañana,2023-09-17-tarde,2023-09-18-mañana,2023-09-18-tarde,2023-09-19-mañana,2023-09-19-tarde,2023-09-20-mañana,2023-09-20-tarde,2023-09-21-mañana,2023-09-21-tarde,2023-09-22-mañana,2023-09-22-tarde,2023-09-23-mañana,2023-09-23-tarde,2023-09-24-mañana,2023-09-24-tarde,2023-09-25-mañana,2023-09-25-tarde,2023-09-26-mañana,2023-09-26-tarde,2023-09-27-mañana,2023-09-27-tarde,2023-09-28-mañana,2023-09-28-tarde,2023-09-29-mañana,2023-09-29-tarde,2023-09-30-mañana,2023-09-30-tarde,objective_1,objective_2
0,person_3,-,-,-,T1,-,-,COM,-,M,-,COM,-,-,-,M,-,-,-,-,-,-,T1,-,CHX,-,CHX,-,CHX,-,-,-,T1,-,-,COM,-,M,-,COM,-,-,-,M,-,-,-,-,-,COM,-,M,-,M,-,-,-,-,-,-,-,0.0,12.4375
1,person_5,M,-,M,-,-,-,M,-,-,-,M,-,COM,-,M,-,-,-,M,-,-,CHX,-,T1,-,-,-,T2,-,-,-,-,-,-,M,-,-,-,-,-,M,-,COM,-,-,-,DISP,-,-,T1,-,T1,-,-,-,-,-,-,-,-,0.0,12.4375
2,person_11,M,-,-,-,-,-,COM,-,M,-,-,-,M,-,M,-,-,-,DISP,-,-,-,-,-,M,-,M,-,COM,-,M,-,-,-,COM,-,-,-,M,-,COM,-,-,-,-,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,0.0,12.4375
3,person_10,-,-,DISP,-,-,-,-,T2,-,-,-,-,-,T2,-,T2,-,-,-,-,M,-,M,-,-,-,M,-,M,-,-,-,DISP,-,-,T1,-,-,-,T2,-,T1,-,CHX,-,-,-,-,M,-,M,-,-,-,COM,-,M,-,DISP,-,0.0,12.4375
4,person_9,-,-,-,T1,-,-,-,-,-,T1,-,T2,-,-,-,CHX,-,-,-,T1,-,T2,-,T2,-,T1,-,T1,-,-,-,-,-,T2,-,CHX,-,T2,-,T2,-,-,-,CHX,-,-,-,T2,-,-,COM,-,M,-,-,-,-,-,-,-,0.0,12.4375
5,person_2,-,CHX,-,-,-,T2,-,T1,-,-,-,-,-,CHX,-,T1,-,-,-,CHX,-,T1,-,-,-,-,-,-,-,T1,-,-,-,T2,-,T2,-,-,-,CHX,-,T2,-,T1,-,-,-,T2,-,-,-,-,-,-,M,-,COM,-,-,-,0.0,12.4375
6,person_7,M,-,-,-,DISP,-,-,-,-,-,COM,-,M,-,COM,-,DISP,-,-,-,M,-,COM,-,M,-,COM,-,M,-,-,-,M,-,-,-,M,-,COM,-,COM,-,COM,-,DISP,-,-,-,-,T2,-,-,-,T2,-,T2,-,T2,-,-,0.0,12.4375
7,person_8,COM,-,-,-,M,-,-,-,-,-,COM,-,COM,-,M,-,M,-,-,-,COM,-,COM,-,COM,-,COM,-,M,-,DISP,-,-,-,-,-,COM,-,M,-,COM,-,COM,-,M,-,-,-,-,T1,-,-,-,T1,-,T1,-,CHX,-,-,0.0,12.4375
8,person_6,-,T1,-,-,-,T1,-,CHX,-,T2,-,CHX,-,T1,-,-,-,T1,-,-,-,-,M,-,-,-,-,-,M,-,-,-,-,-,-,T1,-,T1,-,CHX,-,CHX,-,CHX,-,T1,-,-,-,-,-,-,COM,-,-,-,COM,-,-,-,0.0,12.4375
9,person_1,-,T2,-,T1,-,-,M,-,COM,-,M,-,M,-,M,-,-,-,-,-,-,T1,-,-,-,T2,-,T2,-,T2,-,T1,-,-,M,-,M,-,COM,-,M,-,M,-,-,-,-,-,-,CHX,-,CHX,-,CHX,-,T1,-,T1,-,-,0.0,12.4375
10,person_4,-,T1,-,-,-,-,-,-,-,CHX,-,T1,-,-,-,T1,-,-,-,-,-,T1,-,T1,-,-,-,T1,-,CHX,-,-,-,T1,-,T2,-,CHX,-,T1,-,T2,-,T2,-,-,-,T1,-,T1,-,T2,-,T1,-,CHX,-,CHX,-,T1,0.0,12.4375
11,person_3,-,-,-,-,-,-,-,T2,-,CHX,-,CHX,-,-,-,T1,-,-,-,T1,-,T1,-,CHX,-,T1,-,T1,-,-,-,-,-,T1,-,T1,-,T1,-,T2,-,-,-,T1,-,T1,-,-,-,CHX,-,T2,-,CHX,-,-,-,-,-,T2,2.0,11.4375
12,person_5,-,-,-,-,M,-,COM,-,-,-,COM,-,M,-,COM,-,-,-,-,-,M,-,M,-,-,-,M,-,-,-,-,-,M,-,COM,-,-,-,-,-,COM,-,-,-,-,-,DISP,-,COM,-,COM,-,COM,-,COM,-,COM,-,M,-,2.0,11.4375
13,person_11,M,-,M,-,-,-,M,-,M,-,-,-,COM,-,M,-,-,-,DISP,-,M,-,-,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,M,-,M,-,DISP,-,-,-,M,-,-,-,-,-,M,-,-,-,DISP,-,2.0,11.4375
14,person_10,-,-,-,-,DISP,-,M,-,-,-,M,-,COM,-,COM,-,M,-,-,-,COM,-,M,-,-,-,COM,-,COM,-,M,-,-,-,M,-,-,-,COM,-,M,-,M,-,-,-,M,-,M,-,M,-,-,-,COM,-,M,-,-,-,2.0,11.4375
15,person_9,-,-,-,-,-,T1,-,CHX,-,T2,-,T1,-,-,-,T2,-,-,-,T1,-,T1,-,T1,-,CHX,-,T1,-,-,-,T1,-,-,-,T2,-,CHX,-,T2,-,-,-,T2,-,-,-,T1,-,-,M,-,M,-,-,-,-,-,-,-,2.0,11.4375
16,person_2,-,T2,-,T1,-,-,-,T1,-,-,-,-,-,T2,-,CHX,-,-,-,-,-,T2,-,-,-,T1,-,-,-,T2,-,-,-,T1,-,T1,-,-,-,T1,-,T2,-,CHX,-,-,-,T1,-,T2,-,-,-,-,-,CHX,-,T2,-,T2,2.0,11.4375
17,person_7,COM,-,COM,-,-,-,-,-,M,-,M,-,M,-,M,-,DISP,-,-,-,COM,-,M,-,M,-,COM,-,M,-,-,-,DISP,-,-,-,M,-,M,-,COM,-,M,-,M,-,-,-,-,T1,-,-,-,CHX,-,T2,-,T2,-,-,2.0,11.4375
18,person_8,M,-,DISP,-,-,-,M,-,-,-,COM,-,M,-,COM,-,-,-,M,-,COM,-,COM,-,COM,-,COM,-,M,-,DISP,-,-,-,-,-,COM,-,COM,-,M,-,COM,-,COM,-,-,-,-,T2,-,-,-,T1,-,T2,-,CHX,-,-,2.0,11.4375
19,person_6,-,CHX,-,-,-,T1,-,T2,-,T2,-,T1,-,T1,-,T1,-,T1,-,-,-,-,-,T2,-,T2,-,-,-,-,-,-,-,-,-,CHX,-,-,-,T2,-,CHX,-,CHX,-,-,-,-,M,-,COM,-,M,-,M,-,M,-,-,-,2.0,11.4375
