,Nurse,2023-06-01-mañana,2023-06-01-tarde,2023-06-02-mañana,2023-06-02-tarde,2023-06-03-mañana,2023-06-03-tarde,2023-06-04-mañana,2023-06-04-tarde,2023-06-05-mañana,2023-06-05-tarde,2023-06-06-mañana,2023-06-06-tarde,2023-06-07-mañana,2023-06-07-tarde,2023-06-08-mañana,2023-06-08-tarde,2023-06-09-mañana,2023-06-09-tarde,2023-06-10-mañana,2023-06-10-tarde,2023-06-11-mañana,2023-06-11-tarde,2023-06-12-mañana,2023-06-12-tarde,2023-06-13-mañana,2023-06-13-tarde,2023-06-14-mañana,2023-06-14-tarde,2023-06-15-mañana,2023-06-15-tarde,2023-06-16-mañana,2023-06-16-tarde,2023-06-17-mañana,2023-06-17-tarde,2023-06-18-mañana,2023-06-18-tarde,2023-06-19-mañana,2023-06-19-tarde,2023-06-20-mañana,2023-06-20-tarde,2023-06-21-mañana,2023-06-21-tarde,2023-06-22-mañana,2023-06-22-tarde,2023-06-23-mañana,2023-06-23-tarde,2023-06-24-mañana,2023-06-24-tarde,2023-06-25-mañana,2023-06-25-tarde,2023-06-26-mañana,2023-06-26-tarde,2023-06-27-mañana,2023-06-27-tarde,2023-06-28-mañana,2023-06-28-tarde,2023-06-29-mañana,2023-06-29-tarde,2023-06-30-mañana,2023-06-30-tarde,objective_1,objective_2
0,person_5,M,-,M,-,-,-,-,-,M,-,-,-,COM,-,M,-,COM,-,-,-,M,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,DISP,-,M,-,M,-,M,-,M,-,DISP,-,-,-,-,-,-,-,M,-,-,-,M,-,4.0,14.5625
1,person_9,-,T1,-,CHX,-,-,-,-,-,-,-,T1,-,T2,-,-,-,-,-,-,-,-,-,-,-,-,-,CHX,-,T1,-,CHX,-,T1,-,-,-,-,-,-,-,CHX,-,CHX,-,T1,-,-,-,T1,-,T2,-,-,-,T1,-,T2,-,T1,4.0,14.5625
2,person_4,-,-,COM,-,M,-,-,-,-,T1,-,CHX,-,-,-,T2,-,CHX,-,-,-,T1,-,T1,-,T1,-,-,-,-,-,T2,-,-,-,T1,-,T1,-,T1,-,T2,-,T1,-,CHX,-,-,-,-,M,-,COM,-,M,-,-,-,M,-,4.0,14.5625
3,person_8,-,CHX,-,T2,-,T1,-,-,-,CHX,-,-,-,T1,-,T1,-,T2,-,-,-,T1,-,-,-,CHX,-,T1,-,CHX,-,T1,-,-,-,-,-,-,-,-,-,T1,-,-,-,-,-,T1,-,-,-,T1,-,T1,-,CHX,-,T1,-,CHX,4.0,14.5625
4,person_3,COM,-,COM,-,-,-,M,-,COM,-,COM,-,M,-,-,-,M,-,-,-,DISP,-,M,-,COM,-,COM,-,-,-,-,-,-,-,DISP,-,-,-,-,T2,-,CHX,-,T2,-,T2,-,-,-,-,-,CHX,-,CHX,-,T2,-,CHX,-,T1,4.0,14.5625
5,person_1,-,-,COM,-,-,-,DISP,-,COM,-,M,-,-,-,COM,-,-,-,M,-,-,-,-,-,COM,-,-,-,-,-,COM,-,DISP,-,-,-,-,T1,-,CHX,-,-,-,-,-,-,-,-,-,-,-,-,-,T2,-,-,-,-,-,T2,4.0,14.5625
6,person_6,M,-,M,-,-,-,-,-,M,-,M,-,M,-,M,-,M,-,DISP,-,-,-,DISP,-,M,-,M,-,COM,-,COM,-,-,-,-,-,M,-,M,-,M,-,-,-,M,-,-,-,DISP,-,COM,-,M,-,COM,-,M,-,M,-,4.0,14.5625
7,person_2,COM,-,-,-,DISP,-,-,-,-,CHX,-,T2,-,-,-,-,-,-,-,-,-,-,M,-,M,-,-,-,M,-,M,-,-,-,M,-,-,-,COM,-,-,-,M,-,-,-,M,-,-,-,-,-,M,-,M,-,M,-,COM,-,4.0,14.5625
8,person_7,-,T2,-,T1,-,-,-,T1,-,T2,-,-,-,CHX,-,CHX,-,T1,-,T1,-,-,-,-,-,T2,-,T2,-,T2,-,CHX,-,-,-,-,-,-,-,-,COM,-,COM,-,COM,-,-,-,M,-,M,-,-,-,-,-,COM,-,COM,-,4.0,14.5625
9,person_5,-,-,M,-,-,-,-,-,M,-,-,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,M,-,DISP,-,-,-,DISP,-,M,-,M,-,M,-,M,-,-,-,M,-,-,-,-,-,M,-,M,-,M,-,6.0,12.5625
10,person_9,COM,-,-,-,M,-,-,-,-,-,-,T1,-,T1,-,T2,-,CHX,-,-,-,-,-,-,-,-,-,CHX,-,T1,-,T2,-,T1,-,-,-,-,-,-,-,T2,-,CHX,-,T1,-,-,-,T1,-,T2,-,-,-,T1,-,CHX,-,T1,6.0,12.5625
11,person_4,-,-,COM,-,-,-,DISP,-,-,T2,-,T2,-,CHX,-,CHX,-,T2,-,T1,-,-,M,-,COM,-,-,-,COM,-,COM,-,-,-,-,-,-,T1,-,T1,-,T2,-,T2,-,T2,-,T1,-,-,M,-,M,-,COM,-,-,-,COM,-,6.0,12.5625
12,person_8,-,T2,-,T2,-,T1,-,-,-,CHX,-,-,-,-,-,T1,-,T1,-,-,-,T1,-,-,-,CHX,-,T2,-,CHX,-,T1,-,-,-,T1,-,-,-,-,-,T1,-,T1,-,T2,-,-,-,-,-,-,-,CHX,-,CHX,-,T1,-,CHX,6.0,12.5625
13,person_3,M,-,M,-,DISP,-,-,-,COM,-,M,-,-,-,-,-,M,-,-,-,M,-,DISP,-,-,-,-,-,-,-,COM,-,-,-,DISP,-,-,-,-,T2,-,CHX,-,T1,-,-,-,-,-,-,-,CHX,-,T1,-,T2,-,T2,-,T1,6.0,12.5625
14,person_1,-,-,M,-,-,-,M,-,M,-,M,-,-,-,COM,-,COM,-,DISP,-,-,-,-,T1,-,T1,-,T2,-,-,-,CHX,-,-,-,-,M,-,M,-,-,-,COM,-,COM,-,DISP,-,-,-,-,T1,-,T1,-,-,-,-,-,T2,6.0,12.5625
15,person_6,M,-,-,-,-,-,-,-,-,T1,-,CHX,-,T2,-,-,-,-,-,-,-,-,DISP,-,COM,-,M,-,M,-,M,-,M,-,-,-,-,T1,-,CHX,-,T1,-,-,-,CHX,-,-,-,-,M,-,COM,-,M,-,M,-,M,-,6.0,12.5625
16,person_2,-,CHX,-,CHX,-,-,-,-,-,-,COM,-,COM,-,COM,-,-,-,-,-,DISP,-,M,-,M,-,COM,-,M,-,M,-,-,-,M,-,M,-,COM,-,COM,-,M,-,M,-,M,-,-,-,-,-,-,T2,-,-,-,-,-,-,6.0,12.5625
17,person_7,-,T1,-,T1,-,-,-,T1,-,-,-,-,M,-,M,-,-,-,-,-,-,-,-,-,-,T2,-,T1,-,T2,-,-,-,-,-,-,-,-,-,-,M,-,-,-,-,-,-,-,DISP,-,COM,-,M,-,-,-,COM,-,-,-,6.0,12.5625
18,person_5,COM,-,M,-,-,-,-,-,-,-,-,-,M,-,M,-,M,-,-,-,M,-,-,-,M,-,M,-,M,-,M,-,-,-,DISP,-,DISP,-,M,-,COM,-,M,-,M,-,-,-,M,-,-,-,-,-,M,-,M,-,M,-,7.0,11.5625
19,person_9,M,-,COM,-,DISP,-,-,-,-,-,-,T1,-,T2,-,CHX,-,CHX,-,-,-,-,-,T1,-,-,-,CHX,-,T1,-,-,-,T1,-,-,-,-,-,-,-,-,-,T2,-,T1,-,-,-,T1,-,T2,-,-,-,CHX,-,CHX,-,T1,7.0,11.5625
20,person_4,-,-,M,-,-,-,DISP,-,-,T1,-,T2,-,-,-,T2,-,CHX,-,T1,-,-,M,-,COM,-,COM,-,COM,-,COM,-,-,-,-,-,-,T1,-,T1,-,T2,-,T1,-,CHX,-,T1,-,-,M,-,M,-,COM,-,COM,-,COM,-,7.0,11.5625
21,person_8,-,T2,-,CHX,-,T1,-,-,-,T2,-,-,-,CHX,-,T2,-,T2,-,-,-,T1,-,-,-,T1,-,T2,-,CHX,-,T2,-,-,-,-,-,-,-,-,M,-,M,-,M,-,DISP,-,-,-,-,CHX,-,T1,-,T1,-,T1,-,CHX,7.0,11.5625
22,person_3,-,CHX,-,T2,-,-,-,-,M,-,M,-,COM,-,-,-,COM,-,DISP,-,-,-,DISP,-,M,-,M,-,-,-,COM,-,-,-,M,-,M,-,COM,-,M,-,M,-,-,-,-,-,DISP,-,-,-,-,CHX,-,T2,-,T2,-,T1,7.0,11.5625
23,person_1,-,-,M,-,-,-,M,-,-,CHX,-,CHX,-,-,-,CHX,-,T1,-,-,-,-,M,-,-,-,-,-,-,-,COM,-,M,-,-,-,-,-,M,-,-,-,COM,-,COM,-,M,-,-,-,-,T2,-,T2,-,-,-,-,-,T2,7.0,11.5625
24,person_6,M,-,COM,-,-,-,-,-,M,-,COM,-,M,-,M,-,M,-,-,-,DISP,-,-,-,-,CHX,-,T1,-,T1,-,CHX,-,-,-,-,-,T1,-,CHX,-,CHX,-,CHX,-,T2,-,-,-,-,COM,-,COM,-,M,-,M,-,M,-,7.0,11.5625
