,Nurse,2022-11-01-mañana,2022-11-01-tarde,2022-11-02-mañana,2022-11-02-tarde,2022-11-03-mañana,2022-11-03-tarde,2022-11-04-mañana,2022-11-04-tarde,2022-11-05-mañana,2022-11-05-tarde,2022-11-06-mañana,2022-11-06-tarde,2022-11-07-mañana,2022-11-07-tarde,2022-11-08-mañana,2022-11-08-tarde,2022-11-09-mañana,2022-11-09-tarde,2022-11-10-mañana,2022-11-10-tarde,2022-11-11-mañana,2022-11-11-tarde,2022-11-12-mañana,2022-11-12-tarde,2022-11-13-mañana,2022-11-13-tarde,2022-11-14-mañana,2022-11-14-tarde,2022-11-15-mañana,2022-11-15-tarde,2022-11-16-mañana,2022-11-16-tarde,2022-11-17-mañana,2022-11-17-tarde,2022-11-18-mañana,2022-11-18-tarde,2022-11-19-mañana,2022-11-19-tarde,2022-11-20-mañana,2022-11-20-tarde,2022-11-21-mañana,2022-11-21-tarde,2022-11-22-mañana,2022-11-22-tarde,2022-11-23-mañana,2022-11-23-tarde,2022-11-24-mañana,2022-11-24-tarde,2022-11-25-mañana,2022-11-25-tarde,2022-11-26-mañana,2022-11-26-tarde,2022-11-27-mañana,2022-11-27-tarde,2022-11-28-mañana,2022-11-28-tarde,2022-11-29-mañana,2022-11-29-tarde,2022-11-30-mañana,2022-11-30-tarde,objective_1,objective_2
0,person_1,M,-,COM,-,COM,-,COM,-,-,-,-,-,-,-,-,-,COM,-,M,-,-,-,DISP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DISP,-,M,-,COM,-,-,-,M,-,M,-,DISP,-,-,-,-,CHX,-,T1,-,T2,2.0,25.375
1,person_6,-,T2,-,T1,-,CHX,-,T1,-,-,-,-,-,-,-,CHX,-,T1,-,CHX,-,-,-,T1,-,-,-,-,-,CHX,-,T1,-,CHX,-,CHX,-,-,-,-,-,T2,-,CHX,-,CHX,-,CHX,-,T2,-,T1,-,-,M,-,M,-,COM,-,2.0,25.375
2,person_11,-,-,-,-,-,-,-,-,M,-,-,-,DISP,-,COM,-,M,-,-,-,M,-,-,-,M,-,-,-,M,-,M,-,COM,-,M,-,M,-,-,-,-,CHX,-,T1,-,T2,-,T1,-,T1,-,-,-,-,-,CHX,-,T2,-,CHX,2.0,25.375
3,person_8,-,-,-,T2,-,-,-,-,-,-,-,-,-,-,-,CHX,-,CHX,-,CHX,-,T1,-,-,-,-,-,-,-,-,-,CHX,-,CHX,-,T2,-,T1,-,-,-,T1,-,CHX,-,CHX,-,CHX,-,CHX,-,-,-,-,-,-,-,-,-,CHX,2.0,25.375
4,person_9,-,T1,-,CHX,-,CHX,-,T2,-,-,-,-,-,-,-,T2,-,CHX,-,-,-,CHX,-,-,-,-,DISP,-,COM,-,COM,-,M,-,COM,-,-,-,-,-,M,-,-,-,COM,-,COM,-,COM,-,-,-,M,-,COM,-,M,-,M,-,2.0,25.375
5,person_7,COM,-,-,-,M,-,COM,-,DISP,-,-,-,M,-,M,-,-,-,COM,-,-,-,-,-,-,-,DISP,-,-,-,-,-,-,-,M,-,DISP,-,-,-,COM,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,T1,-,CHX,-,T1,2.0,25.375
6,person_3,M,-,M,-,M,-,M,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,DISP,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,-,-,M,-,M,-,COM,-,2.0,25.375
7,person_2,-,-,-,-,-,T2,-,CHX,-,-,-,T1,-,-,-,-,-,T1,-,T2,-,T2,-,-,-,T1,-,T1,-,CHX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T1,-,-,-,-,-,-,2.0,25.375
8,person_5,-,CHX,-,CHX,-,T1,-,-,-,-,-,T1,-,-,-,T1,-,T2,-,T1,-,CHX,-,-,-,T1,-,-,-,T2,-,T2,-,T1,-,CHX,-,-,-,T1,-,CHX,-,T2,-,T1,-,T2,-,CHX,-,-,-,-,M,-,COM,-,M,-,2.0,25.375
9,person_10,COM,-,M,-,M,-,M,-,-,-,DISP,-,-,-,M,-,COM,-,-,-,COM,-,M,-,-,-,-,-,-,T1,-,CHX,-,T2,-,T1,-,-,-,-,COM,-,-,-,-,-,-,-,COM,-,M,-,-,-,-,T2,-,CHX,-,T1,2.0,25.375
10,person_4,-,CHX,-,-,-,-,-,CHX,-,T1,-,-,-,T1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,25.375
0,person_1,-,-,M,-,M,-,M,-,-,-,-,-,DISP,-,-,-,COM,-,M,-,M,-,DISP,-,-,-,-,-,-,-,M,-,M,-,-,-,DISP,-,-,-,M,-,-,-,COM,-,-,-,COM,-,M,-,-,-,-,CHX,-,T2,-,CHX,4.0,23.4375
1,person_6,-,CHX,-,T1,-,CHX,-,-,-,-,-,T1,-,-,M,-,M,-,M,-,COM,-,-,-,-,-,-,-,COM,-,COM,-,COM,-,COM,-,-,-,-,-,-,-,-,-,-,CHX,-,CHX,-,T2,-,-,-,-,M,-,COM,-,M,-,4.0,23.4375
2,person_11,M,-,COM,-,M,-,COM,-,M,-,-,-,M,-,COM,-,M,-,COM,-,M,-,-,-,DISP,-,M,-,M,-,-,-,M,-,M,-,-,-,DISP,-,-,CHX,-,T1,-,T2,-,CHX,-,CHX,-,-,-,-,-,-,-,-,-,-,4.0,23.4375
3,person_8,-,-,-,CHX,-,-,-,-,-,-,-,-,-,-,-,T2,-,T1,-,T2,-,T2,-,-,-,T1,-,-,-,-,-,CHX,-,T2,-,T2,-,-,-,T1,-,T1,-,CHX,-,-,-,-,-,T1,-,T1,-,-,-,-,-,-,-,-,4.0,23.4375
4,person_9,-,T2,-,CHX,-,-,-,T2,-,-,-,-,-,-,-,CHX,-,CHX,-,CHX,-,T1,-,-,-,-,-,T1,-,CHX,-,CHX,-,CHX,-,T1,-,-,-,-,COM,-,COM,-,-,-,M,-,COM,-,-,-,M,-,M,-,M,-,M,-,4.0,23.4375
