,Nurse,2022-02-01-mañana,2022-02-01-tarde,2022-02-02-mañana,2022-02-02-tarde,2022-02-03-mañana,2022-02-03-tarde,2022-02-04-mañana,2022-02-04-tarde,2022-02-05-mañana,2022-02-05-tarde,2022-02-06-mañana,2022-02-06-tarde,2022-02-07-mañana,2022-02-07-tarde,2022-02-08-mañana,2022-02-08-tarde,2022-02-09-mañana,2022-02-09-tarde,2022-02-10-mañana,2022-02-10-tarde,2022-02-11-mañana,2022-02-11-tarde,2022-02-12-mañana,2022-02-12-tarde,2022-02-13-mañana,2022-02-13-tarde,2022-02-14-mañana,2022-02-14-tarde,2022-02-15-mañana,2022-02-15-tarde,2022-02-16-mañana,2022-02-16-tarde,2022-02-17-mañana,2022-02-17-tarde,2022-02-18-mañana,2022-02-18-tarde,2022-02-19-mañana,2022-02-19-tarde,2022-02-20-mañana,2022-02-20-tarde,2022-02-21-mañana,2022-02-21-tarde,2022-02-22-mañana,2022-02-22-tarde,2022-02-23-mañana,2022-02-23-tarde,2022-02-24-mañana,2022-02-24-tarde,2022-02-25-mañana,2022-02-25-tarde,2022-02-26-mañana,2022-02-26-tarde,2022-02-27-mañana,2022-02-27-tarde,2022-02-28-mañana,2022-02-28-tarde,objective_1,objective_2
0,person_4,-,-,COM,-,M,-,COM,-,M,-,-,-,-,-,-,-,-,CHX,-,T2,-,CHX,-,T1,-,-,-,CHX,-,CHX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,23.4375
1,person_1,COM,-,COM,-,COM,-,COM,-,-,-,-,-,-,T1,-,T1,-,CHX,-,T1,-,T1,-,-,-,T1,-,T2,-,-,-,CHX,-,T2,-,-,-,-,-,-,-,CHX,-,T2,-,T1,-,CHX,-,T2,-,T1,-,-,M,-,1.0,23.4375
2,person_7,-,CHX,-,T2,-,T1,-,T1,-,-,-,-,-,-,-,-,M,-,-,-,M,-,-,-,M,-,-,-,-,-,COM,-,COM,-,COM,-,-,-,DISP,-,M,-,-,-,-,-,M,-,-,-,-,-,M,-,-,-,1.0,23.4375
3,person_8,-,-,-,T2,-,T2,-,T2,-,-,-,-,-,-,-,CHX,-,-,-,-,-,CHX,-,-,-,-,-,-,-,-,-,CHX,-,T2,-,T2,-,-,-,T1,-,T2,-,CHX,-,CHX,-,T2,-,T1,-,-,-,T1,-,T1,1.0,23.4375
4,person_11,-,-,M,-,-,-,M,-,-,-,DISP,-,-,-,COM,-,COM,-,COM,-,-,-,M,-,-,-,-,-,M,-,COM,-,-,-,-,-,-,-,M,-,-,T1,-,T1,-,T2,-,T1,-,CHX,-,-,-,-,M,-,1.0,23.4375
5,person_2,M,-,-,-,COM,-,M,-,-,-,-,-,M,-,-,-,M,-,-,-,COM,-,DISP,-,-,-,COM,-,-,-,M,-,COM,-,M,-,DISP,-,-,-,M,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,-,1.0,23.4375
6,person_9,-,T2,-,T1,-,-,-,CHX,-,-,-,T1,-,CHX,-,-,-,-,-,T2,-,-,-,T1,-,-,-,-,-,T1,-,T2,-,T1,-,CHX,-,T1,-,-,-,-,-,-,-,-,-,-,COM,-,-,-,-,-,-,-,1.0,23.4375
7,person_3,-,-,M,-,-,-,-,-,DISP,-,-,-,-,-,-,-,-,T2,-,CHX,-,T2,-,-,-,-,M,-,-,-,M,-,M,-,-,-,M,-,-,-,-,-,-,-,COM,-,-,-,-,-,DISP,-,-,-,-,-,1.0,23.4375
8,person_10,M,-,M,-,M,-,M,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,DISP,-,-,-,COM,-,-,-,M,-,M,-,-,-,-,-,M,-,M,-,-,-,-,-,M,-,M,-,-,-,-,CHX,1.0,23.4375
9,person_5,M,-,-,-,M,-,COM,-,-,-,-,-,-,T2,-,T2,-,T1,-,-,-,-,-,-,-,-,-,T1,-,T2,-,T1,-,CHX,-,T1,-,-,-,-,COM,-,COM,-,-,-,-,-,-,-,-,-,-,-,COM,-,1.0,23.4375
